Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
16/12/2006;18:00:00;2.790;0.180;237.520;11.800;0.000;0.000;18.000
16/12/2006;18:01:00;2.624;0.144;238.200;11.000;0.000;0.000;17.000
16/12/2006;18:02:00;2.772;0.118;238.280;11.600;0.000;0.000;17.000
16/12/2006;18:03:00;3.740;0.108;236.930;16.400;0.000;16.000;18.000
16/12/2006;18:04:00;4.928;0.202;235.010;21.000;0.000;37.000;16.000
16/12/2006;18:05:00;6.052;0.192;232.930;26.200;0.000;37.000;17.000
16/12/2006;18:06:00;6.752;0.186;232.120;29.000;0.000;36.000;17.000
16/12/2006;18:07:00;6.474;0.144;231.850;27.800;0.000;37.000;16.000
16/12/2006;18:08:00;6.308;0.116;232.250;27.000;0.000;36.000;17.000
16/12/2006;18:09:00;4.464;0.136;234.660;19.000;0.000;37.000;16.000
16/12/2006;18:10:00;3.396;0.148;236.200;15.000;0.000;22.000;18.000
16/12/2006;18:11:00;3.090;0.152;237.070;13.800;0.000;12.000;17.000
16/12/2006;18:12:00;3.730;0.144;235.780;16.400;0.000;27.000;17.000
16/12/2006;18:13:00;2.308;0.160;237.430;9.600;0.000;1.000;17.000
16/12/2006;18:14:00;2.388;0.158;237.260;10.000;0.000;1.000;17.000
16/12/2006;18:15:00;4.598;0.100;234.250;21.400;0.000;20.000;17.000
16/12/2006;18:16:00;4.524;0.076;234.200;19.600;0.000;9.000;17.000
16/12/2006;18:17:00;4.202;0.082;234.310;17.800;0.000;1.000;17.000
16/12/2006;18:18:00;4.472;0.000;233.290;19.200;0.000;1.000;16.000
16/12/2006;18:19:00;2.852;0.000;235.610;12.000;0.000;1.000;17.000
16/12/2006;18:20:00;2.928;0.000;235.250;12.400;0.000;1.000;17.000
16/12/2006;18:21:00;2.940;0.000;236.040;12.400;0.000;2.000;17.000
16/12/2006;18:22:00;2.934;0.000;235.510;12.400;0.000;1.000;17.000
16/12/2006;18:23:00;2.926;0.000;235.680;12.400;0.000;1.000;17.000
16/12/2006;18:24:00;3.452;0.000;235.200;15.200;0.000;1.000;17.000
16/12/2006;18:25:00;4.870;0.000;233.740;20.800;0.000;1.000;17.000
16/12/2006;18:26:00;4.868;0.000;233.840;20.800;0.000;1.000;17.000
16/12/2006;18:27:00;4.866;0.000;233.790;20.800;0.000;1.000;17.000
16/12/2006;18:28:00;3.176;0.000;235.500;13.800;0.000;1.000;17.000
16/12/2006;18:29:00;2.920;0.000;235.840;12.400;0.000;1.000;17.000
16/12/2006;18:30:00;2.930;0.000;236.150;12.400;0.000;1.000;17.000
16/12/2006;18:31:00;2.912;0.050;235.810;12.400;0.000;1.000;17.000
16/12/2006;18:32:00;2.608;0.052;235.410;11.000;0.000;1.000;17.000
16/12/2006;18:33:00;2.714;0.162;234.820;11.600;0.000;0.000;17.000
16/12/2006;18:34:00;3.538;0.086;233.760;15.600;0.000;1.000;16.000
16/12/2006;18:35:00;6.072;0.000;232.480;26.400;0.000;27.000;17.000
16/12/2006;18:36:00;4.536;0.000;233.540;19.400;0.000;1.000;17.000
16/12/2006;18:37:00;4.408;0.000;232.320;18.800;0.000;1.000;16.000
16/12/2006;18:38:00;2.912;0.048;234.020;13.000;0.000;1.000;17.000
16/12/2006;18:39:00;2.326;0.054;234.760;9.800;0.000;1.000;17.000
16/12/2006;18:40:00;2.264;0.054;234.670;9.600;0.000;1.000;17.000
16/12/2006;18:41:00;2.270;0.054;235.270;9.600;0.000;1.000;17.000
16/12/2006;18:42:00;2.258;0.054;235.120;9.600;0.000;1.000;17.000
16/12/2006;18:43:00;2.188;0.068;235.800;9.200;0.000;1.000;17.000
16/12/2006;18:44:00;2.978;0.166;234.810;13.200;0.000;1.000;17.000
16/12/2006;18:45:00;4.200;0.174;234.380;17.800;0.000;1.000;17.000
16/12/2006;18:46:00;4.204;0.186;234.200;17.800;0.000;1.000;16.000
16/12/2006;18:47:00;4.218;0.178;233.980;18.000;0.000;1.000;17.000
16/12/2006;18:48:00;2.786;0.188;234.990;12.000;0.000;2.000;17.000
16/12/2006;18:49:00;2.540;0.088;234.670;10.800;0.000;4.000;17.000
16/12/2006;18:50:00;2.496;0.080;233.920;10.600;0.000;3.000;17.000
16/12/2006;18:51:00;2.336;0.070;233.510;10.000;0.000;1.000;16.000
16/12/2006;18:52:00;2.322;0.000;233.440;9.800;0.000;0.000;17.000
16/12/2006;18:53:00;2.448;0.000;233.640;10.600;0.000;1.000;17.000
16/12/2006;18:54:00;4.298;0.000;232.390;18.400;0.000;1.000;16.000
16/12/2006;18:55:00;4.230;0.090;232.250;18.200;0.000;1.000;17.000
16/12/2006;18:56:00;4.230;0.090;232.320;18.200;0.000;2.000;16.000
16/12/2006;18:57:00;3.924;0.084;232.790;17.000;0.000;1.000;17.000
16/12/2006;18:58:00;4.218;0.090;232.090;18.000;0.000;1.000;17.000
16/12/2006;18:59:00;4.224;0.090;231.960;18.200;0.000;1.000;16.000
16/12/2006;19:00:00;4.070;0.088;231.990;17.400;0.000;1.000;17.000
16/12/2006;19:01:00;3.612;0.090;232.360;15.600;0.000;2.000;16.000
16/12/2006;19:02:00;3.458;0.090;232.710;14.800;0.000;1.000;17.000
